Géographie;Système de classification des industries de l'Amérique du Nord (SCIAN);Ajustements;Période de référence;Ventes totles du commerce de détil
Canada;Commerce de détail  [44-45];Désaisonnalisées;févr-22;63 402 675
Canada;Commerce de détail  [44-45];Désaisonnalisées;mars-22;64 105 000
Canada;Commerce de détail  [44-45];Désaisonnalisées;avr-22;64 089 960
Canada;Commerce de détail  [44-45];Désaisonnalisées;mai-22;65 843 669
Canada;Commerce de détail  [44-45];Désaisonnalisées;juin-22;66 820 752
Canada;Commerce de détail  [44-45];Désaisonnalisées;juil-22;64 894 605
Canada;Commerce de détail  [44-45];Désaisonnalisées;août-22;65 164 336
Canada;Commerce de détail  [44-45];Désaisonnalisées;sept-22;64 851 162
Canada;Commerce de détail  [44-45];Désaisonnalisées;oct-22;65 400 613
Canada;Commerce de détail  [44-45];Désaisonnalisées;nov-22;65 412 899
Canada;Commerce de détail  [44-45];Désaisonnalisées;déc-22;64 679 047
Canada;Commerce de détail  [44-45];Désaisonnalisées;janv-23;66 268 651
Canada;Commerce de détail  [44-45];Désaisonnalisées;févr-23;65 669 032
Canada;Commerce de détail  [44-45];Désaisonnalisées;mars-23;65 347 675
Canada;Commerce de détail  [44-45];Désaisonnalisées;avr-23;65 630 708
Canada;Commerce de détail  [44-45];Désaisonnalisées;mai-23;65 660 274
Canada;Commerce de détail  [44-45];Désaisonnalisées;juin-23;65 996 026
Canada;Commerce de détail  [44-45];Désaisonnalisées;juil-23;65 887 486
Canada;Commerce de détail  [44-45];Désaisonnalisées;août-23;65 934 227
Canada;Commerce de détail  [44-45];Désaisonnalisées;sept-23;66 582 252
Canada;Commerce de détail  [44-45];Désaisonnalisées;oct-23;66 510 217
Canada;Commerce de détail  [44-45];Désaisonnalisées;nov-23;66 557 715
Canada;Commerce de détail  [44-45];Désaisonnalisées;déc-23;66 324 795
Canada;Commerce de détail  [44-45];Désaisonnalisées;janv-24;66 084 879
Canada;Commerce de détail  [44-45];Désaisonnalisées;févr-24;66 243 688
Canada;Commerce de détail  [44-45];Désaisonnalisées;mars-24;66 158 441
Canada;Commerce de détail  [44-45];Désaisonnalisées;avr-24;66 779 200
Canada;Commerce de détail  [44-45];Désaisonnalisées;mai-24;65 963 312
Canada;Commerce de détail  [44-45];Désaisonnalisées;juin-24;65 892 518
Canada;Commerce de détail  [44-45];Désaisonnalisées;juil-24;66 888 468
Canada;Commerce de détail  [44-45];Désaisonnalisées;août-24;67 100 242
Canada;Commerce de détail  [44-45];Désaisonnalisées;sept-24;67 513 278
Canada;Commerce de détail  [44-45];Désaisonnalisées;oct-24;68 041 311
Canada;Commerce de détail  [44-45];Désaisonnalisées;nov-24;68 299 018
Canada;Commerce de détail  [44-45];Désaisonnalisées;déc-24;70 026 822
Canada;Commerce de détail  [44-45];Désaisonnalisées;janv-25;69 577 901
Canada;Commerce de détail  [44-45];Désaisonnalisées;févr-25;69 325 352
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;févr-22;16 428 656
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;mars-22;15 813 100
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;avr-22;15 802 638
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;mai-22;16 415 398
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;juin-22;16 623 121
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;juil-22;16 451 016
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;août-22;16 526 728
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;sept-22;16 621 974
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;oct-22;16 646 742
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;nov-22;16 664 442
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;déc-22;16 743 764
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;janv-23;17 990 586
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;févr-23;17 936 733
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;mars-23;17 264 932
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;avr-23;17 438 104
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;mai-23;17 447 327
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;juin-23;18 035 108
Canada;Concessionnaires de véhicules et de pièces automobiles  [441];Désaisonnalisées;juil-23;17 640 393
