Date_UTC,Date_Local,LocalDate,Home Team,Away Team,Home Score,Away Score,Result,Season,weight,Played
2024-10-04 17:00:00+00:00,2024-10-04 13:00:00-04:00,2024-10-04,Buffalo Sabres,New Jersey Devils,1,4,1 - 4,2024-2025,1.0,True
2024-10-05 14:00:00+00:00,2024-10-05 10:00:00-04:00,2024-10-05,New Jersey Devils,Buffalo Sabres,3,1,3 - 1,2024-2025,1.0,True
2024-10-08 20:30:00+00:00,2024-10-08 16:30:00-04:00,2024-10-08,Seattle Kraken,St. Louis Blues,2,3,2 - 3,2024-2025,1.0,True
2024-10-08 23:00:00+00:00,2024-10-08 19:00:00-04:00,2024-10-08,Florida Panthers,Boston Bruins,6,4,6 - 4,2024-2025,1.0,True
2024-10-09 02:00:00+00:00,2024-10-08 22:00:00-04:00,2024-10-08,Utah Hockey Club,Chicago Blackhawks,5,2,5 - 2,2024-2025,1.0,True
2024-10-09 23:00:00+00:00,2024-10-09 19:00:00-04:00,2024-10-09,Montréal Canadiens,Toronto Maple Leafs,1,0,1 - 0,2024-2025,1.0,True
2024-10-09 23:30:00+00:00,2024-10-09 19:30:00-04:00,2024-10-09,Pittsburgh Penguins,New York Rangers,0,6,0 - 6,2024-2025,1.0,True
2024-10-10 02:00:00+00:00,2024-10-09 22:00:00-04:00,2024-10-09,Vancouver Canucks,Calgary Flames,5,6,5 - 6,2024-2025,1.0,True
2024-10-10 02:00:00+00:00,2024-10-09 22:00:00-04:00,2024-10-09,Vegas Golden Knights,Colorado Avalanche,8,4,8 - 4,2024-2025,1.0,True
2024-10-10 02:00:00+00:00,2024-10-09 22:00:00-04:00,2024-10-09,Edmonton Oilers,Winnipeg Jets,0,6,0 - 6,2024-2025,1.0,True
2024-10-10 23:00:00+00:00,2024-10-10 19:00:00-04:00,2024-10-10,Boston Bruins,Montréal Canadiens,6,4,6 - 4,2024-2025,1.0,True
2024-10-10 23:00:00+00:00,2024-10-10 19:00:00-04:00,2024-10-10,Buffalo Sabres,Los Angeles Kings,1,3,1 - 3,2024-2025,1.0,True
2024-10-10 23:00:00+00:00,2024-10-10 19:00:00-04:00,2024-10-10,Ottawa Senators,Florida Panthers,3,1,3 - 1,2024-2025,1.0,True
2024-10-10 23:00:00+00:00,2024-10-10 19:00:00-04:00,2024-10-10,New Jersey Devils,Toronto Maple Leafs,2,4,2 - 4,2024-2025,1.0,True
2024-10-10 23:30:00+00:00,2024-10-10 19:30:00-04:00,2024-10-10,New York Islanders,Utah Hockey Club,4,5,4 - 5,2024-2025,1.0,True
2024-10-11 00:00:00+00:00,2024-10-10 20:00:00-04:00,2024-10-10,Minnesota Wild,Columbus Blue Jackets,3,2,3 - 2,2024-2025,1.0,True
2024-10-11 00:00:00+00:00,2024-10-10 20:00:00-04:00,2024-10-10,Detroit Red Wings,Pittsburgh Penguins,3,6,3 - 6,2024-2025,1.0,True
2024-10-11 00:00:00+00:00,2024-10-10 20:00:00-04:00,2024-10-10,Nashville Predators,Dallas Stars,3,4,3 - 4,2024-2025,1.0,True
2024-10-11 02:30:00+00:00,2024-10-10 22:30:00-04:00,2024-10-10,San Jose Sharks,St. Louis Blues,4,5,4 - 5,2024-2025,1.0,True
2024-10-11 23:00:00+00:00,2024-10-11 19:00:00-04:00,2024-10-11,Carolina Hurricanes,Tampa Bay Lightning,1,4,1 - 4,2024-2025,1.0,True
2024-10-12 00:00:00+00:00,2024-10-11 20:00:00-04:00,2024-10-11,Winnipeg Jets,Chicago Blackhawks,2,1,2 - 1,2024-2025,1.0,True
2024-10-12 02:00:00+00:00,2024-10-11 22:00:00-04:00,2024-10-11,Vancouver Canucks,Philadelphia Flyers,2,3,2 - 3,2024-2025,1.0,True
2024-10-12 02:00:00+00:00,2024-10-11 22:00:00-04:00,2024-10-11,Vegas Golden Knights,St. Louis Blues,4,3,4 - 3,2024-2025,1.0,True
2024-10-12 17:00:00+00:00,2024-10-12 13:00:00-04:00,2024-10-12,Boston Bruins,Los Angeles Kings,2,1,2 - 1,2024-2025,1.0,True
2024-10-12 23:00:00+00:00,2024-10-12 19:00:00-04:00,2024-10-12,New York Rangers,Utah Hockey Club,5,6,5 - 6,2024-2025,1.0,True
2024-10-12 23:00:00+00:00,2024-10-12 19:00:00-04:00,2024-10-12,Detroit Red Wings,Nashville Predators,3,0,3 - 0,2024-2025,1.0,True
2024-10-12 23:00:00+00:00,2024-10-12 19:00:00-04:00,2024-10-12,Washington Capitals,New Jersey Devils,3,5,3 - 5,2024-2025,1.0,True
2024-10-12 23:00:00+00:00,2024-10-12 19:00:00-04:00,2024-10-12,Toronto Maple Leafs,Pittsburgh Penguins,4,2,4 - 2,2024-2025,1.0,True
2024-10-12 23:00:00+00:00,2024-10-12 19:00:00-04:00,2024-10-12,Buffalo Sabres,Florida Panthers,5,2,5 - 2,2024-2025,1.0,True
2024-10-12 23:00:00+00:00,2024-10-12 19:00:00-04:00,2024-10-12,Montréal Canadiens,Ottawa Senators,4,1,4 - 1,2024-2025,1.0,True
2024-10-13 00:00:00+00:00,2024-10-12 20:00:00-04:00,2024-10-12,Dallas Stars,New York Islanders,3,0,3 - 0,2024-2025,1.0,True
2024-10-13 00:00:00+00:00,2024-10-12 20:00:00-04:00,2024-10-12,Minnesota Wild,Seattle Kraken,4,5,4 - 5,2024-2025,1.0,True
2024-10-13 01:00:00+00:00,2024-10-12 21:00:00-04:00,2024-10-12,Colorado Avalanche,Columbus Blue Jackets,4,6,4 - 6,2024-2025,1.0,True
2024-10-13 02:00:00+00:00,2024-10-12 22:00:00-04:00,2024-10-12,Calgary Flames,Philadelphia Flyers,6,3,6 - 3,2024-2025,1.0,True
2024-10-13 02:00:00+00:00,2024-10-12 22:00:00-04:00,2024-10-12,Edmonton Oilers,Chicago Blackhawks,2,5,2 - 5,2024-2025,1.0,True
2024-10-13 02:00:00+00:00,2024-10-12 22:00:00-04:00,2024-10-12,San Jose Sharks,Anaheim Ducks,0,2,0 - 2,2024-2025,1.0,True
2024-10-13 22:00:00+00:00,2024-10-13 18:00:00-04:00,2024-10-13,Winnipeg Jets,Minnesota Wild,2,1,2 - 1,2024-2025,1.0,True
2024-10-14 00:00:00+00:00,2024-10-13 20:00:00-04:00,2024-10-13,Dallas Stars,Seattle Kraken,2,0,2 - 0,2024-2025,1.0,True
2024-10-14 00:00:00+00:00,2024-10-13 20:00:00-04:00,2024-10-13,Edmonton Oilers,Calgary Flames,1,4,1 - 4,2024-2025,1.0,True
2024-10-14 02:00:00+00:00,2024-10-13 22:00:00-04:00,2024-10-13,Vegas Golden Knights,Anaheim Ducks,3,1,3 - 1,2024-2025,1.0,True
